t=5s pre:    mCurrentFocus=Window{6005b2b u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=5s post:   mCurrentFocus=Window{d4cd935 u0 com.android.camera/com.android.camera.Camera}
t=10s pre:    mCurrentFocus=Window{7476ba6 u0 Menu Accessibilité}
t=10s post:   mCurrentFocus=Window{1b4ba70 u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=15s pre:    mCurrentFocus=Window{aa4030a u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=15s post:   mCurrentFocus=Window{aa4030a u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=20s pre:    mCurrentFocus=Window{d4cd935 u0 com.android.camera/com.android.camera.Camera}
t=20s post:   mCurrentFocus=null
t=30s pre:    mCurrentFocus=null
t=30s post:   mCurrentFocus=Window{d4cd935 u0 com.android.camera/com.android.camera.Camera}
t=45s pre:    mCurrentFocus=Window{5d24c66 u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=45s post:   mCurrentFocus=Window{5d24c66 u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=60s pre:    mCurrentFocus=null
t=60s post:   mCurrentFocus=null
