t=5s pre:    mCurrentFocus=Window{24f4684 u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=5s post:   mCurrentFocus=Window{d4cd935 u0 com.android.camera/com.android.camera.Camera}
t=10s pre:    mCurrentFocus=Window{d4cd935 u0 com.android.camera/com.android.camera.Camera}
t=10s post:   mCurrentFocus=Window{e4e71a0 u0 org.opengoal.gk.jak1/org.opengoal.gk.jak1.LoaderActivity}
t=15s pre:    mCurrentFocus=Window{98414cd u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=15s post:   mCurrentFocus=Window{98414cd u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=20s pre:    mCurrentFocus=Window{d4cd935 u0 com.android.camera/com.android.camera.Camera}
t=20s post:   mCurrentFocus=null
t=30s pre:    mCurrentFocus=Window{7dede6c u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=30s post:   mCurrentFocus=Window{7dede6c u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}
t=45s pre:    mCurrentFocus=null
t=45s post:   mCurrentFocus=Window{abf6cd4 u0 Menu Accessibilité}
t=60s pre:    mCurrentFocus=Window{d4cd935 u0 com.android.camera/com.android.camera.Camera}
t=60s post:   mCurrentFocus=null
