rel_frame,dpos,drot,x86_lvl,arm_lvl
0,14.1,0.11808,misty,misty
1,1.4,0.11808,misty,misty
2,28.2,0.11808,misty,misty
3,15.4,0.11808,misty,misty
4,14.1,0.11808,misty,misty
5,29.6,0.11808,misty,misty
6,39.3,0.11808,misty,misty
7,26.6,0.11808,misty,misty
8,36.4,0.11808,misty,misty
9,29.3,0.11808,misty,misty
10,33.5,0.11808,misty,misty
11,26.5,0.11808,misty,misty
12,30.6,0.11808,misty,misty
13,40.2,0.11808,misty,misty
14,33.1,0.11808,misty,misty
15,37.2,0.11808,misty,misty
16,30.3,0.11808,misty,misty
17,34.3,0.11808,misty,misty
18,27.4,0.11808,misty,misty
19,31.4,0.11808,misty,misty
20,24.3,0.11808,misty,misty
21,33.9,0.11808,misty,misty
22,37.7,0.11808,misty,misty
23,30.8,0.11808,misty,misty
24,34.8,0.11808,misty,misty
25,27.9,0.11808,misty,misty
26,31.8,0.11808,misty,misty
27,25.0,0.11808,misty,misty
28,34.0,0.11808,misty,misty
29,37.8,0.11808,misty,misty
30,31.2,0.11808,misty,misty
31,34.9,0.11808,misty,misty
32,28.1,0.11808,misty,misty
33,31.9,0.11808,misty,misty
34,25.3,0.11808,misty,misty
35,34.0,0.11808,misty,misty
36,37.3,0.11808,misty,misty
37,30.8,0.11808,misty,misty
38,34.3,0.11808,misty,misty
39,28.0,0.11808,misty,misty
40,20993.4,10790.45660,misty,misty
41,20996.3,11351.35299,misty,misty
42,21002.0,11351.35299,misty,misty
43,21006.7,11351.35299,misty,misty
44,21009.4,11351.35299,misty,misty
45,21014.1,11351.35299,misty,misty
46,21016.7,11351.35299,misty,misty
47,21021.2,11351.35299,misty,misty
48,21023.8,11351.35299,misty,misty
49,21029.1,11351.35299,misty,misty
50,21030.8,11351.35299,misty,misty
51,21035.9,11351.35299,misty,misty
52,21037.6,11351.35299,misty,misty
53,21042.6,11351.35299,misty,misty
54,21043.4,11351.35299,misty,misty
55,21043.4,11351.35299,misty,misty
56,23073.3,609.18529,misty,misty
57,22965.9,0.11657,misty,misty
58,22643.9,0.11657,misty,misty
59,22483.0,0.11657,misty,misty
60,22214.6,0.11657,misty,misty
61,22053.8,0.11657,misty,misty
62,21785.4,0.11657,misty,misty
63,21624.4,0.11657,misty,misty
64,21356.1,0.11657,misty,misty
65,21087.9,0.11657,misty,misty
66,20873.3,0.11657,misty,misty
67,20605.0,0.11657,misty,misty
68,20444.0,0.11657,misty,misty
69,20175.8,0.11657,misty,misty
70,20014.8,0.11657,misty,misty
71,19746.4,0.11657,misty,misty
72,19585.5,0.11657,misty,misty
73,19263.5,0.11657,misty,misty
74,18995.3,0.11657,misty,misty
75,18834.3,0.11657,misty,misty
76,18566.0,0.11657,misty,misty
77,18405.0,0.11657,misty,misty
78,18136.8,0.11657,misty,misty
79,17975.8,0.11657,misty,misty
80,17653.8,0.11657,misty,misty
81,17385.5,0.11657,misty,misty
82,17224.5,0.11657,misty,misty
83,16956.3,0.11657,misty,misty
84,16795.3,0.11657,misty,misty
85,16473.4,0.11657,misty,misty
86,16366.0,0.11657,misty,misty
87,16044.0,0.11657,misty,misty
88,15935.5,0.11657,misty,misty
89,15604.9,0.11657,misty,misty
90,15329.4,0.11657,misty,misty
91,15164.1,0.11657,misty,misty
92,14833.5,0.11657,misty,misty
93,14723.3,0.11657,misty,misty
94,14392.8,0.11657,misty,misty
95,14227.4,0.11657,misty,misty
96,13951.9,0.11657,misty,misty
97,13676.5,0.11657,misty,misty
98,13511.1,0.11657,misty,misty
99,13180.5,0.11657,misty,misty
100,13070.3,0.11657,misty,misty
101,12739.8,0.11657,misty,misty
102,12574.5,0.11657,misty,misty
103,12299.0,0.11657,misty,misty
104,12133.8,0.11657,misty,misty
105,11858.3,0.11657,misty,misty
106,11527.5,0.11657,misty,misty
107,11417.4,0.11657,misty,misty
108,11086.8,0.11657,misty,misty
109,10921.5,0.11657,misty,misty
110,10646.0,0.11657,misty,misty
111,10480.8,0.11657,misty,misty
112,10205.3,0.11657,misty,misty
113,10039.9,0.11657,misty,misty
114,9764.5,0.11657,misty,misty
115,9433.9,0.11657,misty,misty
116,9268.5,0.11657,misty,misty
117,8993.0,0.11657,misty,misty
118,8827.8,0.11657,misty,misty
119,8552.3,0.11657,misty,misty
120,8387.0,0.11657,misty,misty
121,8111.5,0.11657,misty,misty
122,7780.9,0.11657,misty,misty
123,7615.6,0.11657,misty,misty
124,7340.1,0.11657,misty,misty
125,7174.8,0.11657,misty,misty
126,6899.4,0.11657,misty,misty
127,6734.0,0.11657,misty,misty
128,6458.5,0.11657,misty,misty
129,6128.0,0.11657,misty,misty
130,5962.8,0.11657,misty,misty
131,5687.3,0.11657,misty,misty
132,5521.9,0.11657,misty,misty
133,5246.4,0.11657,misty,misty
134,5081.1,0.11657,misty,misty
135,4750.5,0.11657,misty,misty
136,4640.3,0.11657,misty,misty
137,4309.8,0.11657,misty,misty
138,4034.3,0.11657,misty,misty
139,3869.0,0.11657,misty,misty
140,3593.5,0.11657,misty,misty
141,3428.1,0.11657,misty,misty
142,3097.5,0.11657,misty,misty
143,2987.4,0.11657,misty,misty
144,2656.8,0.11657,misty,misty
145,2381.3,0.11657,misty,misty
146,2216.0,0.11657,misty,misty
147,1940.5,0.11657,misty,misty
148,1775.3,0.11657,misty,misty
149,1444.5,0.11657,misty,misty
150,1334.5,0.11657,misty,misty
151,1003.8,0.11657,misty,misty
152,838.5,0.11657,misty,misty
153,563.1,0.11657,misty,misty
154,287.5,0.11657,misty,misty
155,122.3,0.11657,misty,misty
156,0.0,0.11657,misty,misty
157,318.5,0.11657,misty,misty
158,649.1,0.11657,misty,misty
159,371.9,0.11657,misty,misty
160,413.3,0.11657,misty,misty
161,454.6,0.11657,misty,misty
162,385.8,0.11657,misty,misty
163,482.1,0.11657,misty,misty
164,358.3,0.11657,misty,misty
165,454.5,0.11657,misty,misty
166,385.6,0.11657,misty,misty
167,427.0,0.11657,misty,misty
168,358.1,0.11657,misty,misty
169,399.5,0.11657,misty,misty
170,496.0,0.11657,misty,misty
171,427.0,0.11657,misty,misty
172,468.4,0.11657,misty,misty
173,399.5,0.11657,misty,misty
174,440.8,0.11657,misty,misty
175,371.9,0.11657,misty,misty
176,413.3,0.11657,misty,misty
177,344.3,0.11657,misty,misty
178,440.9,0.11657,misty,misty
179,482.3,0.11657,misty,misty
180,413.3,0.11657,misty,misty
181,454.5,0.11657,misty,misty
182,385.8,0.11657,misty,misty
183,427.0,0.11657,misty,misty
184,358.1,0.11657,misty,misty
185,454.8,0.11657,misty,misty
186,495.9,0.11657,misty,misty
187,427.1,0.11657,misty,misty
188,468.4,0.11657,misty,misty
189,399.5,0.11657,misty,misty
190,440.8,0.11657,misty,misty
191,372.0,0.11657,misty,misty
192,468.3,0.11657,misty,misty
193,509.5,0.11657,misty,misty
194,440.9,0.11657,misty,misty
195,482.1,0.11657,misty,misty
196,413.3,0.11657,misty,misty
197,454.5,0.11657,misty,misty
198,385.8,0.11657,misty,misty
199,482.0,0.11657,misty,misty
200,358.1,0.11657,misty,misty
201,454.5,0.11657,misty,misty
202,495.8,0.11657,misty,misty
203,427.1,0.11657,misty,misty
204,468.4,0.11657,misty,misty
205,399.4,0.11657,misty,misty
206,495.9,0.11657,misty,misty
207,372.0,0.11657,misty,misty
208,468.3,0.11657,misty,misty
209,509.8,0.11657,misty,misty
210,440.8,0.11657,misty,misty
211,537.3,0.11657,misty,misty
212,413.1,0.11657,misty,misty
213,509.8,0.11657,misty,misty
214,385.8,0.11657,misty,misty
215,482.1,0.11657,misty,misty
216,414.3,0.11657,misty,misty
217,458.5,0.11657,misty,misty
218,557.0,0.11657,misty,misty
219,431.6,0.11657,misty,misty
220,529.0,0.11657,misty,misty
221,403.9,0.11657,misty,misty
