# SECTION A — collision-realistic float->int conversion sweep (60000 inputs)
# idx  in(hex)         scalar_out(hex16)   class
A0      ff800000        ffffffff80000000  Inf
A1      ceb3e4ea        ffffffffa60d8b00  rng
A2      52e6bd61        000000007fffffff  +ovf
A3      5601d0b8        000000007fffffff  +ovf
A4      528ac166        000000007fffffff  +ovf
A5      4a0db7fb        0000000000236dfe  rng
A6      3e4c330c        0000000000000000  rng
A7      43872d08        000000000000010e  rng
A8      4ac99430        000000000064ca18  rng
A9      4e1ce4c0        0000000027393000  rng
A10     54c08f9b        000000007fffffff  +ovf
A11     55a1b9ee        000000007fffffff  +ovf
A12     5347863b        000000007fffffff  +ovf
A13     4b615f69        0000000000e15f69  rng
A14     3f05c71a        0000000000000000  rng
A15     c2192460        ffffffffffffffda  rng
A16     4ad14b30        000000000068a598  rng
A17     ce80933f        ffffffffbfb66080  rng
A18     558ff9fb        000000007fffffff  +ovf
A19     4f01ab22        000000007fffffff  +ovf
A20     5241d780        000000007fffffff  +ovf
A21     4beaa9c8        0000000001d55390  rng
A22     bf428ff9        0000000000000000  rng
A23     c2d4b478        ffffffffffffff96  rng
A24     4a5f12b4        000000000037c4ad  rng
A25     cd9d6b74        ffffffffec529180  rng
A26     55f63a7f        000000007fffffff  +ovf
A27     5627c7cf        000000007fffffff  +ovf
A28     52dea675        000000007fffffff  +ovf
A29     c83764a7        fffffffffffd226e  rng
A30     3f7b9961        0000000000000000  rng
A31     c189ac20        ffffffffffffffef  rng
A32     ca4b6140        ffffffffffcd27b0  rng
A33     4e8841ca        000000004420e500  rng
A34     55aec918        000000007fffffff  +ovf
A35     53430bca        000000007fffffff  +ovf
A36     536bee55        000000007fffffff  +ovf
A37     4bbdd3da        00000000017ba7b4  rng
A38     3f47ce9d        0000000000000000  rng
A39     c46839ec        fffffffffffffc60  rng
A40     cac2b29b        ffffffffff9ea6b3  rng
A41     4e1ac18c        0000000026b06300  rng
A42     558bf866        000000007fffffff  +ovf
A43     55eccf38        000000007fffffff  +ovf
A44     5416ac5d        000000007fffffff  +ovf
A45     4b4ed5de        0000000000ced5de  rng
A46     bfe89c7e        ffffffffffffffff  rng
A47     43599528        00000000000000d9  rng
A48     cadf0fb4        ffffffffff907826  rng
A49     ce478e56        ffffffffce1c6a80  rng
A50     550557d2        000000007fffffff  +ovf
A51     55e3f2da        000000007fffffff  +ovf
A52     5221c950        000000007fffffff  +ovf
A53     7fc00000        0000000000000000  NaN
A54     400a1480        0000000000000002  rng
A55     c40e0530        fffffffffffffdc8  rng
A56     ca608ec0        ffffffffffc7dc50  rng
A57     cecc17ae        ffffffff99f42900  rng
A58     55f60837        000000007fffffff  +ovf
A59     552c541a        000000007fffffff  +ovf
A60     5315b975        000000007fffffff  +ovf
A61     caa5b332        ffffffffffad2667  rng
A62     3d277242        0000000000000000  rng
A63     c46c54bf        fffffffffffffc4f  rng
A64     cae65bd1        ffffffffff8cd218  rng
A65     ce9f3e4c        ffffffffb060da00  rng
A66     55ee6ecb        000000007fffffff  +ovf
A67     51564cb6        000000007fffffff  +ovf
A68     53aa139d        000000007fffffff  +ovf
A69     48a47664        00000000000523b3  rng
A70     3f2ee724        0000000000000000  rng
A71     4417a07a        000000000000025e  rng
A72     49edfae8        00000000001dbf5d  rng
A73     4f011a1c        000000007fffffff  +ovf
A74     56361157        000000007fffffff  +ovf
A75     5331c4bc        000000007fffffff  +ovf
A76     56dabcfc        000000007fffffff  +ovf
A77     4bf3801c        0000000001e70038  rng
A78     3fe71405        0000000000000001  rng
A79     44569b5e        000000000000035a  rng
A80     c9855e74        ffffffffffef5432  rng
A81     cc8765c0        fffffffffbc4d200  rng
A82     561e03e0        000000007fffffff  +ovf
A83     55ec7bb4        000000007fffffff  +ovf
A84     52dc8963        000000007fffffff  +ovf
A85     4c08da1d        0000000002236874  rng
A86     bd6e5818        0000000000000000  rng
A87     4453759e        000000000000034d  rng
A88     cadd7688        ffffffffff9144bc  rng
