=== gsr_stand stand_pon posm='433.1 1.5 -1725.5' 2026-07-04T20:01:59+02:00 ===
--- Y trace (raw; deck~543=0.13m, water~ -5000..-8000) ---
f=1035 x=1762481.6 y=-6209.5 z=-6977932.5
f=1050 x=1751168.8 y=-10390.1 z=-6982249.0
f=1065 x=1750557.2 y=-10578.5 z=-6982606.5
f=1080 x=1750557.2 y=-9239.5 z=-6982606.5
f=1095 x=1750557.2 y=-8303.5 z=-6982606.5
f=1110 x=1750557.2 y=-8338.5 z=-6982606.5
f=1125 x=1750557.2 y=-8588.4 z=-6982606.5
f=1140 x=1773977.6 y=6144.0 z=-7067648.0
f=1155 x=1773804.5 y=8359.5 z=-7067697.0
f=1170 x=1773536.2 y=7807.7 z=-7067724.0
f=1185 x=1773380.8 y=6746.2 z=-7067797.5
f=1200 x=1773084.4 y=6948.6 z=-7062669.0
f=1215 x=1771960.4 y=-6392.8 z=-7041320.0
f=1230 x=1771064.2 y=-9452.9 z=-7021765.5
f=1245 x=1770523.5 y=-6878.0 z=-7009404.0
f=1260 x=1769862.2 y=-3338.9 z=-6993568.0
f=1275 x=1768320.1 y=-4923.8 z=-6980520.0
f=1290 x=1755203.6 y=-5920.0 z=-6980828.0
f=1305 x=1743423.6 y=-7899.6 z=-6986885.5
f=1320 x=1741727.4 y=-9255.7 z=-6988127.0
f=1335 x=1741727.4 y=-10314.7 z=-6988127.0
f=1350 x=1741727.4 y=-9483.0 z=-6988127.0
f=1365 x=1741727.4 y=-8001.3 z=-6988127.0
f=1380 x=1741727.4 y=-7548.4 z=-6988127.0
f=1395 x=1773977.6 y=6144.0 z=-7067648.0
--- crash ---
