ACTOR proc=square-platform-button- type=square-platform-button samples=124 max_disp=442128 states=basebutton-up-idle
ACTOR proc=square-platform-master- type=square-platform-master samples=62 max_disp=438994 states=square-platform-master-idle
ACTOR proc=plat-61 type=plat samples=31 max_disp=115305 states=plat-path-active
ACTOR proc=plat-62 type=plat samples=31 max_disp=101843 states=plat-path-active
ACTOR proc=plat-59 type=plat samples=31 max_disp=55644 states=plat-path-active
ACTOR proc=plat-60 type=plat samples=31 max_disp=55637 states=plat-path-active
ACTOR proc=seaweed-8 type=seaweed samples=31 max_disp=0 states=seaweed-idle
ACTOR proc=seaweed-7 type=seaweed samples=31 max_disp=0 states=seaweed-idle
ACTOR proc=seaweed-6 type=seaweed samples=31 max_disp=0 states=seaweed-idle
ACTOR proc=seaweed-4 type=seaweed samples=31 max_disp=0 states=seaweed-idle
ACTOR proc=square-platform-9 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=square-platform-8 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=square-platform-7 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=double-lurker-1 type=double-lurker samples=31 max_disp=0 states=nav-enemy-idle
ACTOR proc=square-platform-6 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=square-platform-5 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=square-platform-4 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=square-platform-3 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=square-platform-2 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=square-platform-1 type=square-platform samples=31 max_disp=0 states=square-platform-lowered
ACTOR proc=d?? type=double-lurker-top samples=31 max_disp=0 states=double-lurker-top-on-shoulders
