ACTOR proc=d?? type=mistycannon-missile samples=9 trans=7 born=1 max_disp=0 states=mistycannon-missile-idle->mistycannon-missile-explode->mistycannon-missile-idle->mistycannon-missile-explode->mistycannon-missile-idle->mistycannon-missile-explode->mistycannon-missile-idle->mistycannon-missile-explode->mistycannon-missile-idle
ACTOR proc= type=target samples=29 trans=6 born=0 max_disp=1068682 states=target-title->target-continue->target-stance->target-hit-ground->target-stance->target-running-attack->target-stance
ACTOR proc=babak-with-cannon-1 type=babak-with-cannon samples=5 trans=3 born=1 max_disp=0 states=nav-enemy-idle->nav-enemy-patrol->babak-run-to-cannon->babak-with-cannon-jump-onto-can->babak-with-cannon-shooting
ACTOR proc=d?? type=eco-pill samples=6 trans=2 born=1 max_disp=10272 states=wait->pickup->wait->pickup
ACTOR proc= type=hud-health samples=25 trans=2 born=0 max_disp=0 states=hud-hidden->hud-in->hud-hidden
ACTOR proc=d?? type=hud-pickups samples=25 trans=2 born=0 max_disp=0 states=hud-hidden->hud-in->hud-hidden
ACTOR proc=crate-2470 type=crate samples=2 trans=1 born=1 max_disp=0 states=wait->die
ACTOR proc=mistycannon-4 type=mistycannon samples=2 trans=1 born=1 max_disp=0 states=mistycannon-waiting-for-player->mistycannon-aim-at-player
ACTOR proc=d?? type=camera-slave samples=22 trans=1 born=0 max_disp=0 states=cam-fixed->cam-string
ACTOR proc= type=part-tracker samples=10 trans=0 born=1 max_disp=33043 states=part-tracker-process
ACTOR proc=d?? type=level-hint samples=4 trans=0 born=1 max_disp=0 states=level-hint-normal
ACTOR proc=med-res-level-23 type=med-res-level samples=3 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=med-res-level-22 type=med-res-level samples=3 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=villagea-water-2 type=villagea-water samples=3 trans=0 born=1 max_disp=0 states=water-vol-idle
ACTOR proc=crate-3147 type=crate-buzzer samples=3 trans=0 born=1 max_disp=0 states=wait
ACTOR proc=crate-3146 type=crate-buzzer samples=3 trans=0 born=1 max_disp=0 states=wait
ACTOR proc=med-res-level-14 type=med-res-level samples=3 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=med-res-level-11 type=med-res-level samples=3 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=assistant-11 type=assistant samples=3 trans=0 born=1 max_disp=0 states=idle
ACTOR proc=sage-23 type=sage samples=3 trans=0 born=1 max_disp=0 states=idle
ACTOR proc=evilplant-2 type=evilplant samples=3 trans=0 born=1 max_disp=0 states=idle
ACTOR proc=revcycle-8 type=revcycle samples=3 trans=0 born=1 max_disp=0 states=idle
ACTOR proc=villagea-part-73 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=villagea-part-72 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=villagea-part-50 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=reflector-middle-2 type=reflector-middle samples=1 trans=0 born=1 max_disp=0 states=reflector-middle-idle
ACTOR proc=med-res-level-9 type=med-res-level samples=1 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=med-res-level-8 type=med-res-level samples=1 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=med-res-level-7 type=med-res-level samples=1 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=med-res-level-6 type=med-res-level samples=1 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=med-res-level-4 type=med-res-level samples=1 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=warp-gate-switch-3 type=warp-gate-switch samples=1 trans=0 born=1 max_disp=0 states=basebutton-down-idle
ACTOR proc=villagea-part-48 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=villagea-part-47 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=villagea-part-46 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=fishermans-boat-2 type=fishermans-boat samples=1 trans=0 born=1 max_disp=0 states=fishermans-boat-docked-village
ACTOR proc=hutlamp-30 type=hutlamp samples=1 trans=0 born=1 max_disp=0 states=hutlamp-idle
ACTOR proc=hutlamp-29 type=hutlamp samples=1 trans=0 born=1 max_disp=0 states=hutlamp-idle
ACTOR proc=villagea-part-35 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=villagea-part-34 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=eco-11 type=eco-blue samples=1 trans=0 born=1 max_disp=0 states=wait
ACTOR proc=eco-10 type=eco-blue samples=1 trans=0 born=1 max_disp=0 states=wait
ACTOR proc=sharkey-12 type=sharkey samples=1 trans=0 born=1 max_disp=0 states=nav-enemy-idle
ACTOR proc=villagea-part-32 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=villagea-part-30 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=med-res-level-3 type=med-res-level samples=1 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=med-res-level-2 type=med-res-level samples=1 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=med-res-level-1 type=med-res-level samples=1 trans=0 born=1 max_disp=0 states=med-res-level-idle
ACTOR proc=sagesail-6 type=sagesail samples=1 trans=0 born=1 max_disp=0 states=sagesail-idle
ACTOR proc=villagea-part-1 type=villagea-part samples=1 trans=0 born=1 max_disp=0 states=part-spawner-active
ACTOR proc=revcycleprop-2 type=revcycleprop samples=1 trans=0 born=1 max_disp=0 states=idle
ACTOR proc=windspinner-9 type=windspinner samples=1 trans=0 born=1 max_disp=0 states=windspinner-idle
ACTOR proc=windspinner-8 type=windspinner samples=1 trans=0 born=1 max_disp=0 states=windspinner-idle
ACTOR proc=windmill-sail-4 type=windmill-sail samples=1 trans=0 born=1 max_disp=0 states=windmill-sail-idle
ACTOR proc=reflector-end-1 type=reflector-end samples=1 trans=0 born=1 max_disp=0 states=reflector-end-idle
ACTOR proc=ropebridge-5 type=ropebridge samples=1 trans=0 born=1 max_disp=0 states=ropebridge-idle
ACTOR proc=ropebridge-4 type=ropebridge samples=1 trans=0 born=1 max_disp=0 states=ropebridge-idle
ACTOR proc=water-vol-10 type=water-vol samples=1 trans=0 born=1 max_disp=0 states=water-vol-idle
ACTOR proc=water-vol-8 type=water-vol samples=1 trans=0 born=1 max_disp=0 states=water-vol-idle
ACTOR proc=water-vol-7 type=water-vol samples=1 trans=0 born=1 max_disp=0 states=water-vol-idle
TRIGGER crate-2470 mode=state min_disp=0 -> FIRED (best proc=crate-2470 disp=0 states=1 trans=1)
TRIGGER babak-with-cannon mode=state min_disp=0 -> FIRED (best proc=babak-with-cannon-1 disp=0 states=4 trans=3)
TRIGGER level-hint mode=birth min_disp=0 -> FIRED (best proc=d?? disp=0 states=0 trans=0)
VERDICT fired=3/3
