== ANALYSIS ==
-- distinct st= tags seen --
    225 st=
-- EGRAB / EGRAB-OFF / EGRAB-JUMP lines --
  edge-grab line count = 0
-- launch lines (|tv| > 150000) --
06-27 07:24:55.549 I/GK_STDOUT(21584): GLEDGE f=5604 st=other tr=-5087055.0,-5396.4,4150584.5 tv=32902.9,-152299.5,-20554.2 |tv|=157163.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.564 I/GK_STDOUT(21584): GLEDGE f=5605 st=other tr=-5086514.5,-8003.0,4150229.5 tv=32429.5,-156395.5,-21293.3 |tv|=161135.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.579 I/GK_STDOUT(21584): GLEDGE f=5606 st=other tr=-5085976.0,-10677.9,4149871.2 tv=32296.7,-160491.5,-21494.1 |tv|=165113.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.595 I/GK_STDOUT(21584): GLEDGE f=5607 st=other tr=-5085438.5,-13408.6,4149511.8 tv=32241.7,-163840.0,-21576.6 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.610 I/GK_STDOUT(21584): GLEDGE f=5608 st=other tr=-5084900.5,-16139.2,4149153.0 tv=32272.0,-163840.0,-21531.2 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.619 I/GK_STDOUT(21584): GLEDGE f=5609 st=other tr=-5084360.5,-18869.9,4148797.2 tv=32391.2,-163840.0,-21351.4 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.629 I/GK_STDOUT(21584): GLEDGE f=5610 st=other tr=-5083817.0,-21600.6,4148447.0 tv=32607.2,-163840.0,-21020.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.647 I/GK_STDOUT(21584): GLEDGE f=5611 st=other tr=-5083268.5,-24331.2,4148104.8 tv=32915.5,-163840.0,-20534.0 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.662 I/GK_STDOUT(21584): GLEDGE f=5612 st=other tr=-5082713.5,-27061.9,4147773.0 tv=33297.8,-163840.0,-19908.1 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.679 I/GK_STDOUT(21584): GLEDGE f=5613 st=other tr=-5082151.5,-29792.6,4147453.8 tv=33734.4,-163840.0,-19158.9 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.695 I/GK_STDOUT(21584): GLEDGE f=5614 st=other tr=-5081581.5,-32523.2,4147148.8 tv=34209.7,-163840.0,-18296.7 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.711 I/GK_STDOUT(21584): GLEDGE f=5615 st=other tr=-5081003.0,-35253.9,4146859.8 tv=34705.0,-163840.0,-17339.0 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.729 I/GK_STDOUT(21584): GLEDGE f=5616 st=other tr=-5080416.0,-37984.6,4146588.2 tv=35207.0,-163840.0,-16295.5 |tv|=168370.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.746 I/GK_STDOUT(21584): GLEDGE f=5617 st=other tr=-5079824.0,-40715.2,4146328.2 tv=35518.6,-163840.0,-15593.6 |tv|=168369.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.761 I/GK_STDOUT(21584): GLEDGE f=5618 st=other tr=-5079227.0,-43445.9,4146080.2 tv=35813.5,-163840.0,-14884.5 |tv|=168367.8 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.779 I/GK_STDOUT(21584): GLEDGE f=5619 st=other tr=-5078625.5,-46176.6,4145844.0 tv=36091.5,-163840.0,-14168.6 |tv|=168365.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.796 I/GK_STDOUT(21584): GLEDGE f=5620 st=other tr=-5078019.5,-48907.2,4145620.0 tv=36352.2,-163840.0,-13446.2 |tv|=168362.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.812 I/GK_STDOUT(21584): GLEDGE f=5621 st=other tr=-5077409.5,-51637.9,4145408.0 tv=36595.4,-163840.0,-12717.7 |tv|=168358.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.829 I/GK_STDOUT(21584): GLEDGE f=5622 st=other tr=-5076796.0,-54368.6,4145208.2 tv=36821.0,-163840.0,-11983.6 |tv|=168353.6 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.847 I/GK_STDOUT(21584): GLEDGE f=5623 st=other tr=-5076179.0,-57099.2,4145020.8 tv=37028.8,-163840.0,-11244.2 |tv|=168348.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.863 I/GK_STDOUT(21584): GLEDGE f=5624 st=other tr=-5075558.5,-59829.9,4144845.8 tv=37218.7,-163840.0,-10500.1 |tv|=168342.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.880 I/GK_STDOUT(21584): GLEDGE f=5625 st=other tr=-5074935.5,-62560.6,4144683.2 tv=37390.8,-163840.0,-9751.6 |tv|=168335.1 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.896 I/GK_STDOUT(21584): GLEDGE f=5626 st=other tr=-5074309.5,-65291.2,4144533.2 tv=37545.7,-163840.0,-8999.4 |tv|=168327.7 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.913 I/GK_STDOUT(21584): GLEDGE f=5627 st=other tr=-5073681.5,-68021.9,4144395.8 tv=37683.9,-163840.0,-8243.9 |tv|=168319.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.946 I/GK_STDOUT(21584): GLEDGE f=5628 st=other tr=-5073051.5,-70752.6,4144271.0 tv=37806.5,-163840.0,-7485.8 |tv|=168312.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.951 I/GK_STDOUT(21584): GLEDGE f=5629 st=other tr=-5071786.0,-76213.9,4144059.5 tv=38022.9,-163840.0,-5965.1 |tv|=168299.9 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.964 I/GK_STDOUT(21584): GLEDGE f=5630 st=other tr=-5071151.0,-78944.6,4143972.8 tv=38100.7,-163840.0,-5201.0 |tv|=168292.2 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.978 I/GK_STDOUT(21584): GLEDGE f=5631 st=other tr=-5070515.0,-81675.2,4143898.8 tv=38170.0,-163840.0,-4436.2 |tv|=168286.0 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:55.994 I/GK_STDOUT(21584): GLEDGE f=5632 st=other tr=-5069942.5,-84405.9,4143832.2 tv=34353.0,-163840.0,-3992.5 |tv|=167450.3 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.012 I/GK_STDOUT(21584): GLEDGE f=5633 st=other tr=-5069427.0,-87136.6,4143772.2 tv=30917.7,-163840.0,-3593.3 |tv|=166770.4 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
06-27 07:24:56.029 I/GK_STDOUT(21584): GLEDGE f=5634 st=other tr=-5068902.0,-89867.2,4143720.8 tv=31500.8,-163840.0,-3093.5 |tv|=166869.5 uv100=0.0000,0.0000,0.0000 uv101=0.0000,0.0000,0.0000 wv0=0.0,0.0,0.0 wv1=0.0,0.0,0.0 egpat=00000000
