# Gmenu-textures DEVICE GTEX dump 2026-06-22T21:20:45+02:00
reached_frame=4560 crash_sigs=0 focus_end=  mCurrentFocus=Window{a022e5a u0 org.opengoal.gk.jak1/org.opengoal.gk.MainActivity}

## GMENU-DBG launch matrix-index decision probe (distinct)
GMENU-DBG s1=1e1a84 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=400c
GMENU-DBG s1=1e1a84 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=500c
GMENU-DBG s1=1e1b24 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=400c
GMENU-DBG s1=1f23c4 s6eq64=0 s6eq32=0 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1f23c4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=100
GMENU-DBG s1=1f23c4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1f23c4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=408c
GMENU-DBG s1=1f45a4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=100
GMENU-DBG s1=1f45a4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1f5764 s6eq64=0 s6eq32=0 lc_matrix(s1+28)=0 s5flags=1204
GMENU-DBG s1=1f5764 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=8
GMENU-DBG s1=1f5764 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=88
GMENU-DBG s1=1f77c4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1f77c4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=400c
GMENU-DBG s1=1f77c4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4088
GMENU-DBG s1=1f77c4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=408c
GMENU-DBG s1=1f7d84 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=8
GMENU-DBG s1=1f8054 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1f8054 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=400c
GMENU-DBG s1=1f8054 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4088
GMENU-DBG s1=1f8054 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=408c
GMENU-DBG s1=1f85e4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=8
GMENU-DBG s1=1f8a44 s6eq64=0 s6eq32=0 lc_matrix(s1+28)=0 s5flags=400c
GMENU-DBG s1=1f8a44 s6eq64=0 s6eq32=0 lc_matrix(s1+28)=0 s5flags=4400c
GMENU-DBG s1=1f8a44 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1f8a44 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=408c
GMENU-DBG s1=1f9de4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1fa674 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1fb064 s6eq64=0 s6eq32=0 lc_matrix(s1+28)=0 s5flags=400c
GMENU-DBG s1=1fca44 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1fca44 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=408c
GMENU-DBG s1=1ffab4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=4008
GMENU-DBG s1=1ffab4 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=408c
GMENU-DBG s1=202b24 s6eq64=0 s6eq32=0 lc_matrix(s1+28)=0 s5flags=c
GMENU-DBG s1=202b24 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=c
GMENU-DBG s1=20dd64 s6eq64=0 s6eq32=1 lc_matrix(s1+28)=0 s5flags=1004

## GK-SPR3 menu HUD/2D sprite vertex dump (distinct, mode=2 HUD / mode=0 2D)
GK-SPR3 mode=1 idx=0 px=1045081.44 py=9374737.00 pz=-17384946.00 sx=243153.0625 sy=243153.0625 mtx=0 uhx=0.00 uhy=0.00 tbp=0x25d2 flag=0
GK-SPR3 mode=1 idx=0 px=-12504368.00 py=7182023.50 pz=-14471506.00 sx=210812.7188 sy=210812.7188 mtx=0 uhx=0.00 uhy=0.00 tbp=0x25d2 flag=0
GK-SPR3 mode=1 idx=0 px=16938218.00 py=620818.81 pz=-9280989.00 sx=284446.8438 sy=284446.8438 mtx=0 uhx=0.00 uhy=0.00 tbp=0x25d2 flag=0
GK-SPR3 mode=1 idx=0 px=-2039943.00 py=5392991.00 pz=41081336.00 sx=9011200.0000 sy=11468800.0000 mtx=0 uhx=0.00 uhy=0.00 tbp=0x2506 flag=0
GK-SPR3 mode=1 idx=0 px=-2047963.25 py=5422923.00 pz=41077224.00 sx=9011200.0000 sy=11468800.0000 mtx=0 uhx=0.00 uhy=0.00 tbp=0x2506 flag=0
GK-SPR3 mode=1 idx=0 px=25801.55 py=82612.82 pz=82980.41 sx=3662.4490 sy=778.2585 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b1 flag=0
GK-SPR3 mode=1 idx=0 px=25911.49 py=82613.77 pz=83105.78 sx=2534.4675 sy=681.8153 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b3 flag=0
GK-SPR3 mode=1 idx=0 px=26119.59 py=82637.83 pz=83105.71 sx=1515.6077 sy=759.0350 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b9 flag=0
GK-SPR3 mode=1 idx=0 px=26202.43 py=82616.28 pz=85093.57 sx=2621.1570 sy=627.2241 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b1 flag=0
GK-SPR3 mode=1 idx=0 px=26827.34 py=82621.67 pz=84862.53 sx=3352.8406 sy=762.7485 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b3 flag=0
GK-SPR3 mode=1 idx=0 px=26845.18 py=82621.82 pz=82231.40 sx=4635.1484 sy=967.5053 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b3 flag=0
GK-SPR3 mode=1 idx=0 px=26846.94 py=82621.84 pz=85470.79 sx=2742.2634 sy=653.2733 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b1 flag=0
GK-SPR3 mode=1 idx=0 px=26860.98 py=82621.96 pz=85475.38 sx=966.8099 sy=916.6398 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b1 flag=0
GK-SPR3 mode=1 idx=0 px=27164.23 py=82628.81 pz=82527.72 sx=4460.6035 sy=951.7777 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b1 flag=0
GK-SPR3 mode=1 idx=0 px=27337.71 py=82627.32 pz=85401.63 sx=891.7410 sy=778.3118 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b9 flag=0
GK-SPR3 mode=1 idx=0 px=27409.72 py=82626.70 pz=83769.92 sx=40.9600 sy=40.9600 mtx=0 uhx=0.00 uhy=0.00 tbp=0x25d2 flag=0
GK-SPR3 mode=1 idx=0 px=27595.88 py=82625.09 pz=82517.45 sx=2301.5266 sy=669.9604 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b1 flag=0
GK-SPR3 mode=1 idx=0 px=27668.99 py=82628.93 pz=82151.70 sx=4124.0010 sy=968.9158 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b3 flag=0
GK-SPR3 mode=1 idx=0 px=27746.58 py=82629.60 pz=85529.53 sx=1334.9465 sy=857.3505 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b1 flag=0
GK-SPR3 mode=1 idx=0 px=27807.18 py=82623.27 pz=85165.53 sx=3142.9709 sy=977.4083 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b9 flag=0
GK-SPR3 mode=1 idx=0 px=28149.56 py=82633.08 pz=82307.59 sx=1252.0549 sy=993.3662 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b3 flag=0
GK-SPR3 mode=1 idx=0 px=28446.15 py=82635.64 pz=82308.62 sx=1903.0642 sy=766.1528 mtx=0 uhx=0.00 uhy=0.00 tbp=0x24b1 flag=0
