# x86 (our HEAD) menu SPR3 dump, window=2400x1080 (20:9), aspect-ratio-scale should be ~1.6666
#
# Capture details (honest):
#   - gk built from HEAD rev c825283c2 (window title 'OpenGOAL - Jak 1 - c825283c2')
#   - X11 window measured 1920x1080 (monitor-bound borderless, display_mode=2);
#     the 2400x1080 comes from pc-settings.gc (window-size 2400 1080) + (aspect-state aspect4x3 20 9),
#     which drives aspect-ratio-scale=1.6666 (gold baseline confirmed arscale=1.6666 on this same monitor).
#   - aspect 20:9 also forced over goalc listener: (set-aspect! *pc-settings* 20 9)
#   - menu opened via single REAL START tap (xfocus_tap key 28); SDL_VIDEODRIVER=x11 so input reaches the window.
#   - menu-open VERIFIED over listener: *progress-process*=#t, in-out-position=0 (settled main progress menu),
#     SPR3-AUX npart=34 nicon=6 (matches gold baseline draw list).
#   - field key: px=position.x (GS units), sx=x-scale, mtx=HUD matrix idx, uhx=per-sprite hud user-hvdf X offset,
#     tbp=texture id (menu element), flag=sprite flag.
#
# ===== MENU-PERIOD mode=2 (HUD) sprites, deduped (sort -u) — static menu textures =====
# (animated title-attract particle idx=24/mtx=17 excluded; it has per-frame px/py jitter, not a menu texture)
GK-SPR3 mode=2 idx=0 px=245760.00 py=0.00 pz=0.00 sx=1228.8000 sy=1228.8000 mtx=12 uhx=1472.00 uhy=2033.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=10 px=245760.00 py=0.00 pz=0.00 sx=819.2000 sy=819.2000 mtx=13 uhx=1472.00 uhy=2033.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=11 px=245760.00 py=0.00 pz=2160.00 sx=9830.4004 sy=8192.0000 mtx=13 uhx=1472.00 uhy=2033.00 tbp=0x2506 flag=0
GK-SPR3 mode=2 idx=12 px=245760.00 py=0.00 pz=2160.00 sx=8192.0000 sy=7372.7998 mtx=13 uhx=1472.00 uhy=2033.00 tbp=0x2506 flag=0
GK-SPR3 mode=2 idx=13 px=0.00 py=0.00 pz=0.00 sx=4915.2002 sy=4915.2002 mtx=13 uhx=1472.00 uhy=2033.00 tbp=0x252e flag=0
GK-SPR3 mode=2 idx=14 px=245760.00 py=0.00 pz=0.00 sx=1228.8000 sy=1228.8000 mtx=14 uhx=1472.00 uhy=2033.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=15 px=245760.00 py=0.00 pz=0.00 sx=1228.8000 sy=1228.8000 mtx=14 uhx=1472.00 uhy=2033.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=16 px=245760.00 py=0.00 pz=0.00 sx=1228.8000 sy=1228.8000 mtx=14 uhx=1472.00 uhy=2033.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=17 px=245760.00 py=0.00 pz=0.00 sx=1228.8000 sy=1228.8000 mtx=14 uhx=1472.00 uhy=2033.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=18 px=245760.00 py=0.00 pz=0.00 sx=819.2000 sy=819.2000 mtx=14 uhx=1472.00 uhy=2033.00 tbp=0x252d flag=0
