
=== GEYSER STATIC: top-10 by baseline ms (A=baseline B=batched) ===
  bucket                        A_ms  A_dr |    B_ms  B_dr |    dms
  [17] l1-tfrag-merc            6.62    64 |    6.42    64 |  +0.21
  [49] l0-pris-merc             3.58   166 |    2.94   166 |  +0.64
  [ 9] l0-tie                   3.47    59 |    3.49    59 |  -0.02
  [10] l0-tfrag-merc            3.19   173 |    2.32   173 |  +0.87
  [66] sprite                   2.82    10 |    3.02    10 |  -0.20
  2d-group0                     2.42     3 |    2.43     3 |  -0.02
  [ 4] ocean-mid-far            2.34    12 |    2.37    12 |  -0.02
  [55] common-pris-merc         2.23    36 |    2.14    36 |  +0.09
  [ 6] l0-tfrag                 1.00    36 |    1.03    37 |  -0.03
  [63] ocean-near               0.98     4 |    1.02     4 |  -0.04

=== GEYSER DRIVE: top-10 by baseline ms (A=baseline B=batched) ===
  bucket                        A_ms  A_dr |    B_ms  B_dr |    dms
  [17] l1-tfrag-merc            6.45    64 |    4.14    64 |  +2.31
  [45] common-alpha-merc        6.31     7 |    0.34     7 |  +5.97
  [49] l0-pris-merc             3.20   144 |    2.10   108 |  +1.10
  [55] common-pris-merc         3.11    36 |    2.05    36 |  +1.06
  [ 9] l0-tie                   2.13    26 |    2.10    25 |  +0.03
  [66] sprite                   1.97     9 |    1.43     7 |  +0.54
  [ 4] ocean-mid-far            1.95    12 |    1.90    12 |  +0.05
  [10] l0-tfrag-merc            1.56    53 |    1.35    61 |  +0.21
  2d-group0                     1.54     4 |    1.03     4 |  +0.51
  [63] ocean-near               0.88     4 |    0.83     4 |  +0.05

=== VILLAGE1 STATIC: top-10 by baseline ms (A=baseline B=batched) ===
  bucket                        A_ms  A_dr |    B_ms  B_dr |    dms
  [52] l1-pris-merc             9.59    23 |    9.48    23 |  +0.11
  [16] l1-tie                   6.76   405 |    6.91   405 |  -0.15
  [66] sprite                   4.05    15 |    4.29    15 |  -0.24
  [17] l1-tfrag-merc            3.43    90 |    3.01    90 |  +0.42
  2d-group0                     3.27     8 |    3.51     8 |  -0.24
  [61] l1-water-merc            2.75     2 |    2.64     2 |  +0.11
  [55] common-pris-merc         2.52    36 |    2.52    36 |  +0.00
  [13] l1-tfrag                 2.17    92 |    2.25    92 |  -0.08
  t3                            2.15    92 |    2.21    92 |  -0.07
  [ 4] ocean-mid-far            1.95    12 |    2.19    12 |  -0.24

=== VILLAGE1 DRIVE: top-10 by baseline ms (A=baseline B=batched) ===
  bucket                        A_ms  A_dr |    B_ms  B_dr |    dms
  [52] l1-pris-merc             7.97    23 |    6.96    98 |  +1.01
  [16] l1-tie                   3.88   116 |    3.59    91 |  +0.29
  [55] common-pris-merc         2.84    36 |    2.58    36 |  +0.26
  [17] l1-tfrag-merc            2.82    47 |    0.48    18 |  +2.33
  [61] l1-water-merc            2.48     2 |    2.88     2 |  -0.40
  [ 4] ocean-mid-far            2.27    12 |    2.16    12 |  +0.11
  [13] l1-tfrag                 1.93    59 |    1.48    50 |  +0.45
  t3                            1.92    66 |    1.45    50 |  +0.47
  [66] sprite                   1.59    11 |    1.81    12 |  -0.22
  [63] ocean-near               1.55     4 |    0.53     4 |  +1.02
