sample	frame	xy	color_id	pre_id	color_raw	pre_raw	color_test	pre_threshold	color_z	pre_z	cause
0	4	583:254	10	10	0.00739506725	0.00739506725	1	0.149021909	0.0102908621	0.0102908621	alpha_rejection_other
1	4	580:255	10	10	0	0	1	0.149021909	0.010251225	0.010251225	alpha_rejection_other
2	4	581:255	10	10	0	0	1	0.149021909	0.010264636	0.010264636	alpha_rejection_other
3	4	582:255	10	10	0	0	1	0.149021909	0.0102780471	0.0102780471	alpha_rejection_other
4	4	583:255	10	10	0.00185642613	0.00185642613	1	0.149021909	0.0102914581	0.0102914581	alpha_rejection_other
5	4	584:255	10	10	0.0659926459	0.0659926459	1	0.149021909	0.0103048692	0.0103048692	alpha_rejection_other
6	4	578:256	10	10	0	0	1	0.149021909	0.0102249989	0.0102249989	alpha_rejection_other
7	4	579:256	10	10	0	0	1	0.149021909	0.01023841	0.01023841	alpha_rejection_other
8	4	580:256	10	10	0	0	1	0.149021909	0.010251821	0.010251821	alpha_rejection_other
9	4	581:256	10	10	0	0	1	0.149021909	0.0102652321	0.0102652321	alpha_rejection_other
10	4	582:256	10	10	0	0	1	0.149021909	0.0102787027	0.0102787027	alpha_rejection_other
11	4	583:256	10	10	0.000412406167	0.000412406167	1	0.149021909	0.0102921138	0.0102921138	alpha_rejection_other
12	4	584:256	10	10	0.0635416657	0.0635416657	1	0.149021909	0.0103055248	0.0103055248	alpha_rejection_other
13	4	578:257	10	10	0	0	1	0.149021909	0.010225595	0.010225595	alpha_rejection_other
14	4	579:257	10	10	0	0	1	0.149021909	0.010239006	0.010239006	alpha_rejection_other
15	4	580:257	10	10	0	0	1	0.149021909	0.0102524767	0.0102524767	alpha_rejection_other
16	4	581:257	10	10	0	0	1	0.149021909	0.0102658877	0.0102658877	alpha_rejection_other
17	4	582:257	10	10	0.000765931385	0.000765931385	1	0.149021909	0.0102792988	0.0102792988	alpha_rejection_other
18	4	583:257	10	10	0.0617647059	0.0617647059	1	0.149021909	0.0102927098	0.0102927098	alpha_rejection_other
19	4	578:258	10	10	0	0	1	0.149021909	0.0102262506	0.0102262506	alpha_rejection_other
20	4	579:258	10	10	0	0	1	0.149021909	0.0102396617	0.0102396617	alpha_rejection_other
21	4	580:258	10	10	0	0	1	0.149021909	0.0102530727	0.0102530727	alpha_rejection_other
22	4	581:258	10	10	0	0	1	0.149021909	0.0102664838	0.0102664838	alpha_rejection_other
23	4	582:258	10	10	0	0	1	0.149021909	0.0102798948	0.0102798948	alpha_rejection_other
24	4	597:258	10	10	0.0464460775	0.0464460775	1	0.149021909	0.0104637751	0.0104637751	alpha_rejection_other
25	4	598:258	10	10	0.0570159331	0.0570159331	1	0.149021909	0.0104715237	0.0104715237	alpha_rejection_other
26	4	578:259	10	10	0	0	1	0.149021909	0.0102268467	0.0102268467	alpha_rejection_other
27	4	579:259	10	10	0	0	1	0.149021909	0.0102402577	0.0102402577	alpha_rejection_other
28	4	580:259	10	10	0	0	1	0.149021909	0.0102537284	0.0102537284	alpha_rejection_other
29	4	581:259	10	10	0	0	1	0.149021909	0.0102671394	0.0102671394	alpha_rejection_other
30	4	582:259	10	10	0	0	1	0.149021909	0.0102805505	0.0102805505	alpha_rejection_other
31	4	601:259	10	10	0.099080883	0.099080883	1	0.149021909	0.0104954848	0.0104954848	alpha_rejection_other
