index	layer	name
0	historical	origine/h00
1	historical	origine/h03
2	historical	origine/h06
3	historical	origine/h09
4	historical	origine/h12
5	historical	origine/h15
6	historical	origine/h18
7	historical	origine/h21
8	historical	recharged/h00
9	historical	recharged/h03
10	historical	recharged/h06
11	historical	recharged/h09
12	historical	recharged/h12
13	historical	recharged/h15
14	historical	recharged/h18
15	historical	recharged/h21
16	historical	origine-lumiere/h00
17	historical	origine-lumiere/h03
18	historical	origine-lumiere/h06
19	historical	origine-lumiere/h09
20	historical	origine-lumiere/h12
21	historical	origine-lumiere/h15
22	historical	origine-lumiere/h18
23	historical	origine-lumiere/h21
24	historical	origine/village1-out-h00
25	historical	origine/village1-out-h03
26	historical	origine/village1-out-h06
27	historical	origine/village1-out-h09
28	historical	origine/village1-out-h12
29	historical	origine/village1-out-h15
30	historical	origine/village1-out-h18
31	historical	origine/village1-out-h21
32	historical	recharged/village1-out-h00
33	historical	recharged/village1-out-h03
34	historical	recharged/village1-out-h06
35	historical	recharged/village1-out-h09
36	historical	recharged/village1-out-h12
37	historical	recharged/village1-out-h15
38	historical	recharged/village1-out-h18
39	historical	recharged/village1-out-h21
40	historical	origine-lumiere/village1-out-h00
41	historical	origine-lumiere/village1-out-h03
42	historical	origine-lumiere/village1-out-h06
43	historical	origine-lumiere/village1-out-h09
44	historical	origine-lumiere/village1-out-h12
45	historical	origine-lumiere/village1-out-h15
46	historical	origine-lumiere/village1-out-h18
47	historical	origine-lumiere/village1-out-h21
48	historical	origine/beach-start-h00
49	historical	origine/beach-start-h03
50	historical	origine/beach-start-h06
51	historical	origine/beach-start-h09
52	historical	origine/beach-start-h12
53	historical	origine/beach-start-h15
54	historical	origine/beach-start-h18
55	historical	origine/beach-start-h21
56	historical	recharged/beach-start-h00
57	historical	recharged/beach-start-h03
58	historical	recharged/beach-start-h06
59	historical	recharged/beach-start-h09
60	historical	recharged/beach-start-h12
61	historical	recharged/beach-start-h15
62	historical	recharged/beach-start-h18
63	historical	recharged/beach-start-h21
64	historical	origine-lumiere/beach-start-h00
65	historical	origine-lumiere/beach-start-h03
66	historical	origine-lumiere/beach-start-h06
67	historical	origine-lumiere/beach-start-h09
68	historical	origine-lumiere/beach-start-h12
69	historical	origine-lumiere/beach-start-h15
70	historical	origine-lumiere/beach-start-h18
71	historical	origine-lumiere/beach-start-h21
72	historical	origine/training-start-h00
73	historical	origine/training-start-h03
74	historical	origine/training-start-h06
75	historical	origine/training-start-h09
76	historical	origine/training-start-h12
77	historical	origine/training-start-h15
78	historical	origine/training-start-h18
79	historical	origine/training-start-h21
80	historical	recharged/training-start-h00
81	historical	recharged/training-start-h03
82	historical	recharged/training-start-h06
83	historical	recharged/training-start-h09
84	historical	recharged/training-start-h12
85	historical	recharged/training-start-h15
86	historical	recharged/training-start-h18
87	historical	recharged/training-start-h21
88	historical	origine-lumiere/training-start-h00
89	historical	origine-lumiere/training-start-h03
90	historical	origine-lumiere/training-start-h06
91	historical	origine-lumiere/training-start-h09
92	historical	origine-lumiere/training-start-h12
93	historical	origine-lumiere/training-start-h15
94	historical	origine-lumiere/training-start-h18
95	historical	origine-lumiere/training-start-h21
96	historical	origine/jungle-start-h00
97	historical	origine/jungle-start-h03
98	historical	origine/jungle-start-h06
99	historical	origine/jungle-start-h09
100	historical	origine/jungle-start-h12
101	historical	origine/jungle-start-h15
102	historical	origine/jungle-start-h18
103	historical	origine/jungle-start-h21
104	historical	recharged/jungle-start-h00
105	historical	recharged/jungle-start-h03
106	historical	recharged/jungle-start-h06
107	historical	recharged/jungle-start-h09
