    PID    PPID COMMAND         COMMAND
      1       0 systemd         /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
      2       0 kthreadd        [kthreadd]
      3       2 pool_workqueue_ [pool_workqueue_release]
      4       2 kworker/R-rcu_g [kworker/R-rcu_gp]
      5       2 kworker/R-sync_ [kworker/R-sync_wq]
      6       2 kworker/R-kvfre [kworker/R-kvfree_rcu_reclaim]
      7       2 kworker/R-slub_ [kworker/R-slub_flushwq]
      8       2 kworker/R-netns [kworker/R-netns]
     13       2 kworker/R-mm_pe [kworker/R-mm_percpu_wq]
     15       2 ksoftirqd/0     [ksoftirqd/0]
     16       2 rcu_preempt     [rcu_preempt]
     17       2 rcu_exp_par_gp_ [rcu_exp_par_gp_kthread_worker/0]
     18       2 rcu_exp_gp_kthr [rcu_exp_gp_kthread_worker]
     19       2 migration/0     [migration/0]
     20       2 idle_inject/0   [idle_inject/0]
     21       2 cpuhp/0         [cpuhp/0]
     22       2 cpuhp/1         [cpuhp/1]
     23       2 idle_inject/1   [idle_inject/1]
     24       2 migration/1     [migration/1]
     25       2 ksoftirqd/1     [ksoftirqd/1]
     28       2 cpuhp/2         [cpuhp/2]
     29       2 idle_inject/2   [idle_inject/2]
     30       2 migration/2     [migration/2]
     31       2 ksoftirqd/2     [ksoftirqd/2]
     33       2 kworker/2:0H-kb [kworker/2:0H-kblockd]
     34       2 cpuhp/3         [cpuhp/3]
     35       2 idle_inject/3   [idle_inject/3]
     36       2 migration/3     [migration/3]
     37       2 ksoftirqd/3     [ksoftirqd/3]
     40       2 cpuhp/4         [cpuhp/4]
     41       2 idle_inject/4   [idle_inject/4]
     42       2 migration/4     [migration/4]
     43       2 ksoftirqd/4     [ksoftirqd/4]
     46       2 cpuhp/5         [cpuhp/5]
     47       2 idle_inject/5   [idle_inject/5]
     48       2 migration/5     [migration/5]
     49       2 ksoftirqd/5     [ksoftirqd/5]
     51       2 kworker/5:0H-ev [kworker/5:0H-events_highpri]
     52       2 cpuhp/6         [cpuhp/6]
     53       2 idle_inject/6   [idle_inject/6]
     54       2 migration/6     [migration/6]
     55       2 ksoftirqd/6     [ksoftirqd/6]
     57       2 kworker/6:0H-ev [kworker/6:0H-events_highpri]
     58       2 cpuhp/7         [cpuhp/7]
     59       2 idle_inject/7   [idle_inject/7]
     60       2 migration/7     [migration/7]
     61       2 ksoftirqd/7     [ksoftirqd/7]
     63       2 kworker/7:0H-ev [kworker/7:0H-events_highpri]
     64       2 kdevtmpfs       [kdevtmpfs]
     65       2 kworker/R-inet_ [kworker/R-inet_frag_wq]
     66       2 rcu_tasks_kthre [rcu_tasks_kthread]
     67       2 rcu_tasks_rude_ [rcu_tasks_rude_kthread]
     68       2 rcu_tasks_trace [rcu_tasks_trace_kthread]
