case,sample,s4,s5,fade,before_frontier,after_frontier,context_defect,memory_defect,call_defect,unexpected,before_goal,after_goal,before_vf11z,after_vf11z,before_return,after_return
0,0,64,256,00000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
1,0,64,256,80000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
2,0,64,256,3f000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
3,0,64,256,3f800000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
4,0,64,256,7fc12345,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
5,0,64,256,ff854321,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
6,0,64,64,00000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
7,0,64,64,80000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
8,0,64,64,3f000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
9,0,64,64,3f800000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
10,0,64,64,7fc12345,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
11,0,64,64,ff854321,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
12,0,64,48,00000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
13,0,64,48,80000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
14,0,64,48,3f000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
15,0,64,48,3f800000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
16,0,64,48,7fc12345,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
17,0,64,48,ff854321,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
18,0,64,80,00000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
19,0,64,80,80000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
20,0,64,80,3f000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
21,0,64,80,3f800000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
22,0,64,80,7fc12345,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
23,0,64,80,ff854321,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
24,0,128,64,00000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
25,0,128,64,80000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
26,0,128,64,3f000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
27,0,128,64,3f800000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
28,0,128,64,7fc12345,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
29,0,128,64,ff854321,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
30,0,64,128,00000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
31,0,64,128,80000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
32,0,64,128,3f000000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
33,0,64,128,3f800000,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
34,0,64,128,7fc12345,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
35,0,64,128,ff854321,free,free,0,0,0,0,2064,2064,00000000,00000000,0,0
36,1,64,256,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
37,1,64,256,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
38,1,64,256,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
39,1,64,256,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
40,1,64,256,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
41,1,64,256,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
42,1,64,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
43,1,64,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
44,1,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
45,1,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
46,1,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
47,1,64,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
48,1,64,48,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
49,1,64,48,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
50,1,64,48,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
51,1,64,48,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
52,1,64,48,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
53,1,64,48,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
54,1,64,80,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
55,1,64,80,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
56,1,64,80,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
57,1,64,80,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
58,1,64,80,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
59,1,64,80,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
60,1,128,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
61,1,128,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
62,1,128,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
63,1,128,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
64,1,128,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
65,1,128,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
66,1,64,128,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
67,1,64,128,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
68,1,64,128,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
69,1,64,128,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000000,00000000,0,0
70,1,64,128,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
71,1,64,128,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
72,2,64,256,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
73,2,64,256,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
74,2,64,256,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
75,2,64,256,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
76,2,64,256,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
77,2,64,256,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
78,2,64,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
79,2,64,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
80,2,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
81,2,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
82,2,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
83,2,64,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
84,2,64,48,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
85,2,64,48,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
86,2,64,48,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
87,2,64,48,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
88,2,64,48,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
89,2,64,48,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
90,2,64,80,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
91,2,64,80,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
92,2,64,80,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
93,2,64,80,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
94,2,64,80,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
95,2,64,80,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
96,2,128,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
97,2,128,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
98,2,128,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
99,2,128,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
100,2,128,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
101,2,128,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
102,2,64,128,00000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
103,2,64,128,80000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
104,2,64,128,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
105,2,64,128,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00000001,00000001,0,0
106,2,64,128,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
107,2,64,128,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
108,3,64,256,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
109,3,64,256,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
110,3,64,256,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
111,3,64,256,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
112,3,64,256,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
113,3,64,256,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
114,3,64,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
115,3,64,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
116,3,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
117,3,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80000001,80000001,0,0
118,3,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
