banc,shader,contact,wind,vertex,clip_x,clip_y,clip_z,clip_w,pre_x,pre_y,pre_z,post_x,post_y,post_z
synthetic,shrub,0,0,0,-100.0,228.57144165039062,-150.0,-1.0,100.0,-200.0,150.0,100.0,-200.0,150.0
synthetic,shrub,0,0,1,-137.0,34.28571701049805,-179.0,-1.0,137.0,-30.0,179.0,137.0,-30.0,179.0
synthetic,shrub,0,0,2,-174.0,-160.0,-208.0,-1.0,174.0,140.0,208.0,174.0,140.0,208.0
synthetic,shrub,0,0,3,-211.0,-354.2857360839844,-237.0,-1.0,211.0,310.0,237.0,211.0,310.0,237.0
synthetic,shrub,0,0,4,-248.0,-548.5714721679688,-266.0,-1.0,248.0,480.0,266.0,248.0,480.0,266.0
synthetic,shrub,0,0,5,-285.0,-742.857177734375,-295.0,-1.0,285.0,650.0,295.0,285.0,650.0,295.0
synthetic,shrub,0,0,6,-322.0,-937.1428833007812,-324.0,-1.0,322.0,820.0,324.0,322.0,820.0,324.0
synthetic,shrub,0,0,7,-359.0,-1131.4285888671875,-353.0,-1.0,359.0,990.0,353.0,359.0,990.0,353.0
synthetic,shrub,0,0,8,-396.0,-1325.71435546875,-382.0,-1.0,396.0,1160.0,382.0,396.0,1160.0,382.0
synthetic,shrub,0,0,9,-433.0,-1520.0001220703125,-411.0,-1.0,433.0,1330.0,411.0,433.0,1330.0,411.0
synthetic,shrub,0,0,10,-470.0,-1714.2857666015625,-440.0,-1.0,470.0,1500.0,440.0,470.0,1500.0,440.0
synthetic,shrub,0,0,11,-507.0,-1908.571533203125,-469.0,-1.0,507.0,1670.0,469.0,507.0,1670.0,469.0
synthetic,shrub,0,1,0,-184.44776916503906,228.57144165039062,-210.9975128173828,-1.0,184.44776916503906,-200.0,210.9975128173828,184.44776916503906,-200.0,210.9975128173828
synthetic,shrub,0,1,1,-221.44447326660156,34.28571701049805,-239.99139404296875,-1.0,221.44447326660156,-30.0,239.99139404296875,221.44447326660156,-30.0,239.99139404296875
synthetic,shrub,0,1,2,-258.4410705566406,-160.0,-268.9848937988281,-1.0,258.4410705566406,140.0,268.9848937988281,258.4410705566406,140.0,268.9848937988281
synthetic,shrub,0,1,3,-295.4377136230469,-354.2857360839844,-297.9786682128906,-1.0,295.4377136230469,310.0,297.9786682128906,295.4377136230469,310.0,297.9786682128906
synthetic,shrub,0,1,4,-332.43438720703125,-548.5714721679688,-326.972412109375,-1.0,332.43438720703125,480.0,326.972412109375,332.43438720703125,480.0,326.972412109375
synthetic,shrub,0,1,5,-369.43109130859375,-742.857177734375,-355.9661865234375,-1.0,369.43109130859375,650.0,355.9661865234375,369.43109130859375,650.0,355.9661865234375
synthetic,shrub,0,1,6,-406.427734375,-937.1428833007812,-384.9599304199219,-1.0,406.427734375,820.0,384.9599304199219,406.427734375,820.0,384.9599304199219
synthetic,shrub,0,1,7,-443.4244079589844,-1131.4285888671875,-413.9537048339844,-1.0,443.4244079589844,990.0,413.9537048339844,443.4244079589844,990.0,413.9537048339844
synthetic,shrub,0,1,8,-480.42108154296875,-1325.71435546875,-442.94744873046875,-1.0,480.42108154296875,1160.0,442.94744873046875,480.42108154296875,1160.0,442.94744873046875
synthetic,shrub,0,1,9,-517.417724609375,-1520.0001220703125,-471.9411315917969,-1.0,517.417724609375,1330.0,471.9411315917969,517.417724609375,1330.0,471.9411315917969
synthetic,shrub,0,1,10,-554.4144287109375,-1714.2857666015625,-500.9349670410156,-1.0,554.4144287109375,1500.0,500.9349670410156,554.4144287109375,1500.0,500.9349670410156
synthetic,shrub,0,1,11,-591.4110717773438,-1908.571533203125,-529.9287109375,-1.0,591.4110717773438,1670.0,529.9287109375,591.4110717773438,1670.0,529.9287109375
synthetic,shrub,1,0,0,38.50918197631836,46.72890090942383,412.886474609375,-1.0,100.0,-200.0,150.0,-38.50918197631836,-40.887786865234375,-412.886474609375
synthetic,shrub,1,0,1,-116.22362518310547,7.009335041046143,-94.56702423095703,-1.0,137.0,-30.0,179.0,116.22362518310547,-6.133167743682861,94.56702423095703
synthetic,shrub,1,0,2,-270.9564208984375,-32.710227966308594,-602.0205078125,-1.0,174.0,140.0,208.0,270.9564208984375,28.621448516845703,602.0205078125
synthetic,shrub,1,0,3,-425.6892395019531,-72.42979431152344,-1109.4739990234375,-1.0,211.0,310.0,237.0,425.6892395019531,63.376068115234375,1109.4739990234375
synthetic,shrub,1,0,4,-580.4220581054688,-112.14936065673828,-1616.9276123046875,-1.0,248.0,480.0,266.0,580.4220581054688,98.13068389892578,1616.9276123046875
synthetic,shrub,1,0,5,-735.1548461914062,-151.86892700195312,-2124.381103515625,-1.0,285.0,650.0,295.0,735.1548461914062,132.8852996826172,2124.381103515625
synthetic,shrub,1,0,6,-889.8876953125,-191.58848571777344,-2631.834716796875,-1.0,322.0,820.0,324.0,889.8876953125,167.63992309570312,2631.834716796875
synthetic,shrub,1,0,7,-1044.6204833984375,-231.30804443359375,-3139.288330078125,-1.0,359.0,990.0,353.0,1044.6204833984375,202.39453125,3139.288330078125
synthetic,shrub,1,0,8,-1199.353271484375,-271.0276184082031,-3646.74169921875,-1.0,396.0,1160.0,382.0,1199.353271484375,237.14915466308594,3646.74169921875
synthetic,shrub,1,0,9,-1354.0860595703125,-310.7471923828125,-4154.1953125,-1.0,433.0,1330.0,411.0,1354.0860595703125,271.9037780761719,4154.1953125
synthetic,shrub,1,0,10,-1508.8189697265625,-350.46673583984375,-4661.64892578125,-1.0,470.0,1500.0,440.0,1508.8189697265625,306.65838623046875,4661.64892578125
synthetic,shrub,1,0,11,-1663.5517578125,-390.1863098144531,-5169.10205078125,-1.0,507.0,1670.0,469.0,1663.5517578125,341.4129943847656,5169.10205078125
synthetic,shrub,1,1,0,-45.9385871887207,46.72890090942383,351.88897705078125,-1.0,184.44776916503906,-200.0,210.9975128173828,45.9385871887207,-40.887786865234375,-351.88897705078125
synthetic,shrub,1,1,1,-200.6680908203125,7.009335041046143,-155.5584259033203,-1.0,221.44447326660156,-30.0,239.99139404296875,200.6680908203125,-6.133167743682861,155.5584259033203
synthetic,shrub,1,1,2,-355.3974914550781,-32.710227966308594,-663.0054321289062,-1.0,258.4410705566406,140.0,268.9848937988281,355.3974914550781,28.621448516845703,663.0054321289062
synthetic,shrub,1,1,3,-510.126953125,-72.42979431152344,-1170.4527587890625,-1.0,295.4377136230469,310.0,297.9786682128906,510.126953125,63.376068115234375,1170.4527587890625
