idx,p0x,p0y,p0z,e1x,e1y,e1z,e2x,e2y,e2z,nx,ny,nz,flags,area_m2
0,-4645506.000,85118.797,4091840.000,-62.500,1215.023,575.000,-14015.000,65.000,0.000,0.001984,0.427842,-0.903851,2,0.5613
1,-4645568.500,86333.820,4092415.000,-13952.500,-1150.023,-575.000,-13887.500,65.000,-65.000,0.006126,0.386747,-0.922166,2,0.5455
2,-4659521.000,85183.797,4091840.000,65.000,1215.023,510.000,-11905.500,-1345.016,-1025.000,0.035881,0.385151,-0.922156,2,0.4647
3,-4645568.500,86333.820,4092415.000,-65.000,1280.016,1152.500,-13887.500,65.000,-65.000,0.006610,0.669291,-0.742971,16,0.7129
4,-4645633.500,87613.836,4093567.500,-13822.500,-1215.016,-1217.500,-13760.000,65.000,-65.000,0.006671,0.668926,-0.743299,16,0.7064
5,-4659456.000,86398.820,4092350.000,62.500,1280.016,1152.500,-12160.500,-385.008,-1342.500,0.060960,0.666231,-0.743250,16,0.6232
6,-4659393.500,87678.836,4093502.500,-12223.000,-1665.023,-2495.000,-12415.500,320.008,-575.000,0.051093,0.696882,-0.715363,16,1.0242
7,-4663168.500,98366.500,4113277.750,5952.500,-702.508,-1535.000,382.500,1920.031,770.000,-0.184904,0.397311,-0.898863,2,0.3878
8,-4657216.000,97663.992,4111742.750,-5570.000,2622.539,2305.000,1342.500,2750.039,3327.500,0.082957,0.751471,-0.654529,16,0.8578
9,-4657216.000,97663.992,4111742.750,10750.000,-1600.023,-832.500,1342.500,2750.039,3327.500,0.062263,0.756845,-0.650621,16,1.4525
10,-4646466.000,96063.969,4110910.250,-9407.500,4350.062,4160.000,705.000,1855.023,897.500,-0.160411,0.478620,-0.863244,2,0.7084
11,-4830786.000,74751.141,4131965.500,-2047.500,-512.508,6912.750,-1215.000,-1985.031,-1022.500,-0.790364,0.582122,-0.190941,16,0.5372
12,-4832833.500,74238.633,4138878.250,832.500,-1472.523,-7935.250,-1280.500,-1792.531,-702.500,-0.760428,0.619535,-0.194743,16,0.5169
13,-4832833.500,74238.633,4138878.250,-2688.000,-705.008,9345.000,-1280.500,-1792.531,-702.500,-0.767669,0.616691,-0.174288,16,0.6695
14,-4835521.500,73533.625,4148223.250,1407.500,-1087.523,-10047.500,-1152.500,-255.008,-960.000,-0.115721,0.985650,-0.122896,0,0.3910
15,-4836674.000,73278.617,4147263.250,1985.000,-3265.047,-9152.500,-382.500,-320.008,-320.000,-0.382940,0.840659,-0.382948,16,0.1466
16,-4830786.000,74751.141,4131965.500,-1215.000,-1985.031,-1022.500,3457.500,575.008,-4030.000,-0.635086,0.623558,-0.455896,16,0.4030
17,-4832001.000,72766.109,4130943.000,4672.500,2560.039,-3007.500,3712.500,1792.531,-4992.500,-0.517652,0.851932,-0.079052,0,0.4255
